"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","unexplained_variance","variance_reduction_from_iid"
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.68505599575546,0.0692625958939896,0.54930130780324,0.820810683707679,0.469301717320505,0
"cold_pool","recdevs1 <-> recdevs1",0,"sigmaR1",0.676993902547303,0.0688832644868845,0.54198270415301,0.812005100941597,0.458320744086228,0.0233985362273403
"late_summer_sst","recdevs1 <-> recdevs1",0,"sigmaR1",0.684995601991373,0.0692580687336498,0.549249787273419,0.820741416709327,0.469218974747523,0.000176309972726219
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.676242957308963,0.0688695929756911,0.541258555076608,0.811227359541317,0.457304537309972,0.0255638953955492
