"model","objective","AIC","maximum_gradient","positive_definite_hessian","convergence_status","elapsed_seconds"
"iid",936.756431305799,4173.5128626116,5.12664254728179e-05,TRUE,"OK",138.755562067032
"cold_pool",936.270867988855,4174.54173597771,5.90732284448947e-05,TRUE,"OK",137.090779066086
"late_summer_sst",936.751857856108,4175.50371571222,6.3447516068571e-05,TRUE,"OK",141.350655794144
"combined",936.23071947461,4176.46143894922,6.32362110941642e-05,TRUE,"OK",143.085644006729
