"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","unexplained_variance","variance_reduction_from_iid"
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.685056297557005,0.0692626481929676,0.549301507098789,0.820811088015222,0.469302130822512,0
"candidate1","recdevs1 <-> recdevs1",0,"sigmaR1",0.678426189293218,0.0688540798269032,0.543472192832487,0.813380185753948,0.460262094318917,0.0192627220501891
"candidate2","recdevs1 <-> recdevs1",0,"sigmaR1",0.648126900120733,0.0680021687463674,0.514842649377853,0.781411150863613,0.42006847866011,0.104908222078842
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.581560479945534,0.056718213768971,0.470392780958351,0.692728178932717,0.33821259183448,0.279328667778008
