"model","objective","AIC","maximum_gradient","positive_definite_hessian","convergence_status","elapsed_seconds"
"iid",926.040400543581,4152.08080108716,3.75532318332983e-05,TRUE,"OK",139.409764051437
"candidate1",925.597734626811,4153.19546925362,8.43435387576363e-05,TRUE,"OK",141.918158054352
"candidate2",923.922952917505,4149.84590583501,0.00012859586176539,TRUE,"OK",143.666846036911
"combined",915.159186095273,4134.31837219055,9.45167265720137e-05,TRUE,"OK",166.090306997299
