"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","unexplained_variance","variance_reduction_from_iid"
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.685056906862025,0.0692627620771558,0.5493018931908,0.82081192053325,0.469302965639365,0
"candidate1","recdevs1 <-> recdevs1",0,"sigmaR1",0.683948849788044,0.0692049901501268,0.548307069093796,0.819590630482293,0.467786029126389,0.00323231819110648
"candidate2","recdevs1 <-> recdevs1",0,"sigmaR1",0.6801671171915,0.0691290404567341,0.544674197896301,0.815660036486699,0.462627307308596,0.0142246242183336
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.679857938467017,0.069089479998843,0.544442557669284,0.815273319264749,0.462206816496622,0.0151206143201665
