"model","objective","AIC","maximum_gradient","positive_definite_hessian","convergence_status","elapsed_seconds"
"iid",942.298652113155,4184.59730422631,5.52553965084135e-05,TRUE,"OK",141.791690826416
"candidate1",942.229400235026,4186.45880047005,6.07994921928423e-05,TRUE,"OK",145.12006688118
"candidate2",942.038530806223,4186.07706161245,4.82122870542057e-05,TRUE,"OK",145.900858879089
"combined",942.011278563478,4188.02255712696,7.0368134457266e-05,TRUE,"OK",146.491873979568
