"model","objective","AIC","maximum_gradient","positive_definite_hessian","convergence_status","elapsed_seconds"
"iid",923.404045311001,4146.808090622,9.44290945057435e-05,TRUE,"OK",133.636865854263
"cold_pool",923.331316491198,4148.6626329824,6.22705108394017e-05,TRUE,"OK",135.610882043839
"late_summer_sst",921.27794796795,4144.5558959359,5.98860508476129e-05,TRUE,"OK",134.482448101044
"combined",921.094782626644,4146.18956525329,5.90382694277761e-05,TRUE,"OK",141.667950153351
