"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","unexplained_variance","variance_reduction_from_iid"
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.685057091920026,0.0692628014749185,0.549302001029186,0.820812182810866,0.469303219189923,0
"cold_pool","recdevs1 <-> recdevs1",0,"sigmaR1",0.683931471587889,0.0691993224380709,0.54830079960927,0.819562143566508,0.467762257828375,0.00328350903752017
"late_summer_sst","recdevs1 <-> recdevs1",0,"sigmaR1",0.648140279391058,0.067942651858866,0.514972681747681,0.781307877034436,0.420085821769119,0.104873342880023
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.642612896537703,0.0683091107199088,0.508727039526682,0.776498753548724,0.412951334796577,0.120075639989465
