fishery_sel_form,label,component,ok,min,max,max_abs_dev
0,Base (coefficients + change-year deviations),oac_fsh,TRUE,0.9999999999999998,1.0000000000000002,2.220446049250313e-16
0,Base (coefficients + change-year deviations),oac_bts,TRUE,0.9999999999999997,1.0000000000000004,4.440892098500626e-16
0,Base (coefficients + change-year deviations),oac_ats,TRUE,0.9999999999999996,1.0000000000000007,6.661338147750939e-16
0,Base (coefficients + change-year deviations),phat_fsh,TRUE,0.9999999999999994,1.0000000000000004,5.551115123125783e-16
0,Base (coefficients + change-year deviations),phat_bts,TRUE,0.9999999999999997,1.0000000000000004,4.440892098500626e-16
0,Base (coefficients + change-year deviations),phat_ats,FALSE,1133.5463579330508,8958.39165249051,8957.39165249051
2,Time-varying double logistic (annual p1/p2/p3),oac_fsh,TRUE,0.9999999999999998,1.0000000000000002,2.220446049250313e-16
2,Time-varying double logistic (annual p1/p2/p3),oac_bts,TRUE,0.9999999999999997,1.0000000000000004,4.440892098500626e-16
2,Time-varying double logistic (annual p1/p2/p3),oac_ats,TRUE,0.9999999999999996,1.0000000000000007,6.661338147750939e-16
2,Time-varying double logistic (annual p1/p2/p3),phat_fsh,TRUE,0.9999999999999996,1.0000000000000007,6.661338147750939e-16
2,Time-varying double logistic (annual p1/p2/p3),phat_bts,TRUE,0.9999999999999997,1.0000000000000004,4.440892098500626e-16
2,Time-varying double logistic (annual p1/p2/p3),phat_ats,FALSE,1057.2094362183595,9043.275650339714,9042.275650339714
5,2D AR1 year×age (all years),oac_fsh,TRUE,0.9999999999999998,1.0000000000000002,2.220446049250313e-16
5,2D AR1 year×age (all years),oac_bts,TRUE,0.9999999999999997,1.0000000000000004,4.440892098500626e-16
5,2D AR1 year×age (all years),oac_ats,TRUE,0.9999999999999996,1.0000000000000007,6.661338147750939e-16
5,2D AR1 year×age (all years),phat_fsh,TRUE,0.9999999999999997,1.0000000000000004,4.440892098500626e-16
5,2D AR1 year×age (all years),phat_bts,TRUE,0.9999999999999997,1.0000000000000002,3.3306690738754696e-16
5,2D AR1 year×age (all years),phat_ats,FALSE,1121.5915682229252,8880.63367001166,8879.63367001166
