"fishery_sel_form","label","objective","evaluated_total","n_parameters","convergence","max_gradient","seconds"
0,"Base (coefficients + change-year deviations)",7943.09816961015,7943.09816961014,1340,0,0.00150280161083115,3.14809799194336
2,"Time-varying double logistic (annual p1/p2/p3)",8299.18118766099,8299.18118766099,803,1,1.83662747609616,0.723515033721924
5,"2D AR1 year×age (all years)",7767.45900629415,7767.45900629415,1538,0,0.000992874753408212,6.99968695640564
