"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_q_ats",-0.715952034258649,-0.71599942255703,0.0648458406364858,0.063141825922427,-0.819914760305375,-0.608229318516137,0.999822340008734,7060.76202840357,2594.96473028866
"log_q_cpue",-0.206315346643726,-0.208677003640816,0.162639748765725,0.162821742689858,-0.467512629051002,0.0693850668222615,1.00182889715393,4503.19312620905,3023.39893946224
"log_q_avo",-8.29542089205717,-8.2956417817353,0.0740635809721566,0.0723883899961191,-8.41383850255222,-8.17360842834667,1.00096105070848,6321.69753158085,2762.75331973038
"log_initdevs[1]",7.99686195905598,8.01154590025633,0.352489743087357,0.353234274254474,7.40441950332624,8.56721974356853,1.00182517203201,2622.35542674529,2894.30678306026
"log_initdevs[2]",7.51114206847407,7.51236661663897,0.35301144480477,0.349222294546227,6.91970421029985,8.07725346134614,1.00072665748161,2915.97332798315,2816.10718161822
"log_initdevs[3]",5.84980341393646,5.89388013623664,0.617202820365747,0.61822410395882,4.77685433581337,6.81286512481993,1.00017875801293,3254.79319734879,2845.33756164426
"log_initdevs[4]",4.87790925662757,5.02289929683796,1.01707608770181,0.904152787617197,3.08547912502376,6.28966118946106,0.999945969428795,2245.06692448175,1689.1439147533
"log_initdevs[5]",6.11654263007061,6.15879074004246,0.6666225734086,0.638231520458908,4.95090917323467,7.14829824542074,1.00014957778658,3134.89426602627,2003.01917201644
"log_initdevs[6]",5.12512722803563,5.25498079247679,1.03596685409395,0.938335488669479,3.30012023891453,6.55271460358625,1.00164576224799,2000.04252675523,1401.71960740575
"log_initdevs[7]",3.53377047531021,3.71886096390386,1.59184551836532,1.53477282368965,0.58804944684111,5.79135922099425,1.00009197442106,3808.5227074055,2633.28134227342
"log_initdevs[8]",3.0766426225963,3.2609560314281,1.61408024622064,1.59601519374093,0.0965820217327355,5.39736201743458,1.00118254001471,4784.67179616067,2110.13668036821
"log_initdevs[9]",3.11332238042819,3.29953918813273,1.70773456270212,1.74825645095123,0.0966873678041421,5.61018845875006,1.0008919296442,4156.62967389171,2338.88681675298
"log_initdevs[10]",3.10275169758875,3.26823120998587,1.65046348024055,1.66518791409946,0.122686504655055,5.54887268576048,1.00134115000487,4997.71607444895,2993.33775437539
"log_initdevs[11]",3.09977730546244,3.31847330721931,1.69709160192499,1.66852158142071,-0.0156744162144197,5.51301833168791,1.00156820308734,5019.67602335244,3031.75591533769
"log_initdevs[12]",3.09961813058888,3.28350631201855,1.69759457956579,1.65564527942025,0.004530132924278,5.5220797273441,1.00063218450863,4151.17266966472,2705.88931685847
"log_initdevs[13]",3.09234891828051,3.31961960858774,1.70993523932601,1.68910656325432,-0.125686247882329,5.58197203763426,1.00083596721832,4587.96559736134,3015.58473379213
"log_initdevs[14]",3.07320673460366,3.26286341299144,1.70151486300625,1.65772589735187,-0.00733247452802227,5.53349453480287,1.00135174033706,5136.32460692061,2493.68348402593
"log_rec_devs[1]",8.70177609655609,8.71722110687179,0.368361832785239,0.364550424159069,8.08263325701057,9.28093609329641,1.00015588032741,3336.55774935182,2928.45219809334
"log_rec_devs[2]",9.91801661854755,9.92006470532344,0.251096384808101,0.250606484895403,9.50890394744023,10.3202845351445,1.00123679754624,2888.69855704413,2603.91152485342
"log_rec_devs[3]",9.59498399887098,9.60325564828992,0.314870131404314,0.308432314901448,9.05288924899378,10.0825057405868,1.00085825489373,2841.57488781968,2686.6589242598
"log_rec_devs[4]",10.1337325762293,10.1446260664056,0.256990811958163,0.25325338509062,9.68562627328285,10.5301397136842,1.00072615085814,2744.12063039093,2728.09622505838
"log_rec_devs[5]",9.99325808492921,10.0134109623661,0.279114062671932,0.282633161424986,9.51063538207357,10.4260351407734,1.00135652136359,3157.37443194766,2614.83204961217
"log_rec_devs[6]",10.1753735128584,10.1869924110708,0.255938352905857,0.248975355708403,9.73193535173805,10.5727344511435,1.00049021291088,3160.71136486878,3068.81033873282
"log_rec_devs[7]",10.0648657840439,10.0811186746113,0.267942650424901,0.26877837976661,9.59671556635657,10.4838421497623,1.00097725320264,3271.94659504081,3038.98589861846
"log_rec_devs[8]",9.54337170833417,9.56008352079919,0.334173135327588,0.336392907066952,8.95815111280784,10.0514267123066,0.999972035658977,3574.9497985043,2203.73260098938
"log_rec_devs[9]",9.37380410299688,9.3902304025335,0.33302725702695,0.324413054377433,8.79416603307554,9.89260731313721,1.00025806519986,4187.59885386495,3535.16897829654
"log_rec_devs[10]",10.1858799515839,10.1971202800049,0.190262331760357,0.18824947675097,9.86208938672407,10.477524279287,1.00107853827865,3792.99634006794,2865.3844480346
"log_rec_devs[11]",9.85706268753967,9.8621111989537,0.200688163582687,0.196399509915819,9.5121025765283,10.1742691885916,1.00093110500545,3892.80495177277,2909.38469877992
"log_rec_devs[12]",9.70404298478598,9.70999565694436,0.179053637316184,0.175714655136688,9.40307911139924,9.98675653249797,1.00031956067552,4825.78091632518,3042.87664612907
"log_rec_devs[13]",9.44384308018105,9.44802388131565,0.167480223545762,0.166678478442836,9.16517703154672,9.70915021725506,1.00133829607141,5839.99280343441,2739.38248209141
"log_rec_devs[14]",9.50626560425233,9.51115427231271,0.145365967315083,0.142219325391698,9.25438992329352,9.73850918347585,1.00045571774812,5244.80278381881,2791.43477598537
"log_rec_devs[15]",10.1384068416611,10.1406711486393,0.0940641837501575,0.0981133333147022,9.9813994888147,10.2895972549694,0.999690735851898,6347.10274091637,2526.56979027378
"log_rec_devs[16]",10.983001594312,10.9832882979814,0.0610810016372477,0.0615995259465274,10.8838924971432,11.0820411356789,1.00241325027912,6060.24012964543,2976.70880382464
"log_rec_devs[17]",10.2425064048843,10.2452795629593,0.0857631477653949,0.0842521890523922,10.0970205189141,10.3801859461749,1.00090765714922,6472.80764943276,2447.18396535747
"log_rec_devs[18]",10.3872612721181,10.3877858829688,0.080662280280171,0.0830095381456519,10.2560268670516,10.5196022290331,0.99978106274922,7112.72578580566,2905.6731786421
"log_rec_devs[19]",9.83508389955482,9.83723961300651,0.102814014122511,0.102413696557827,9.66207481706934,9.99612218121121,1.00287720696164,6939.3755157082,1904.02515778486
"log_rec_devs[20]",10.8614345682366,10.8617132282706,0.0578489999506853,0.0561475042735413,10.7651048631382,10.9546877052754,1.00029188607141,6540.93153735759,2956.59728152001
"log_rec_devs[21]",9.56998913627908,9.57075242186426,0.106270488127569,0.105861692041529,9.39439515585985,9.7403618451229,1.00115201362904,6881.41394046178,2288.19618657227
"log_rec_devs[22]",10.4313493206117,10.4315869085674,0.0654088896600999,0.0647173265355488,10.3238053489098,10.5391879994792,0.999755130593889,7867.25572737149,2747.38483476969
"log_rec_devs[23]",9.49307144125104,9.49343778312086,0.0960832788896277,0.100170279788707,9.33696380536207,9.6506189366018,1.0000870251497,7504.59999861982,2800.8740491875
"log_rec_devs[24]",8.90292546518934,8.90387932318287,0.107345090843822,0.109397726885384,8.72482372976907,9.07537961768212,1.00060156980204,6985.87409435542,2650.33117356595
"log_rec_devs[25]",8.62855738686667,8.6301038317406,0.111925729641769,0.113809316568481,8.4430776354424,8.80597229526171,1.00128609925527,6678.60330854236,2543.05311534528
"log_rec_devs[26]",9.37397477208574,9.37466803066117,0.0736145057243103,0.0770307535711697,9.25489011373622,9.49245334267723,1.00026044756977,6849.99278602871,2808.77344196532
"log_rec_devs[27]",10.8213994136239,10.8213978143666,0.035495290822175,0.0352330917782364,10.7628838146197,10.880336685125,1.00177321574252,8178.1283645,2686.60562256649
"log_rec_devs[28]",10.2196078819677,10.2199841399808,0.0489650805632999,0.0506043369404022,10.138581115691,10.2994685822558,0.999814031365855,7909.2047115438,2900.00301088863
"log_rec_devs[29]",10.0701486057141,10.0703079310592,0.0567252962496484,0.0563614971448014,9.97698066443626,10.163048917074,1.00263196766071,7487.29759025121,2582.62523337047
"log_rec_devs[30]",10.7343916284134,10.734966496389,0.0414116373896979,0.0407675239046889,10.6666345214911,10.8002286495036,1.00234915020587,7756.01263902254,2312.22848004279
"log_rec_devs[31]",9.65548529532923,9.65625453945472,0.0628092914061577,0.0611389948700512,9.54902984089557,9.75858189097962,1.00214452802082,7546.13997021114,2458.67683932274
"log_rec_devs[32]",9.31156107131878,9.31207472359679,0.0679030712436935,0.0668477862639612,9.19500951584238,9.42087327945391,1.0004162501075,7874.15004256571,2916.6001960166
"log_rec_devs[33]",10.0290234213438,10.0295166883801,0.0481230630120133,0.0478808544169289,9.9493321191131,10.1064317597107,1.00242082152465,7922.37475834844,2365.70720043822
"log_rec_devs[34]",10.3186318635844,10.3187491107186,0.0396384797687631,0.0403025392599363,10.2535628957414,10.3831940947656,1.00138359266435,7697.09303359378,2450.6885063225
"log_rec_devs[35]",9.60538256306318,9.60458963923172,0.0526061642697826,0.0547253235852865,9.51956669317462,9.69200402972214,1.00055139349104,7336.25794737318,2740.11976833893
"log_rec_devs[36]",9.69246795375857,9.69335381329742,0.0505466953379109,0.0497317816130355,9.60900912778592,9.77430689955106,1.00141897613312,7683.87374147847,2471.44604210086
"log_rec_devs[37]",10.1194172700823,10.1188913850762,0.0396784368181118,0.0384446991785815,10.053337663345,10.183884806981,1.00267130185726,6848.27702474122,2325.2026317677
"log_rec_devs[38]",10.4617292886447,10.4611975756451,0.0335792990715856,0.0337401801928933,10.4051320040637,10.5182343341389,1.00317213100568,8589.37754707966,2367.13286699194
"log_rec_devs[39]",10.059968482287,10.0594405894704,0.0378081786132649,0.0373148099056029,9.99783387166713,10.1228188610519,1.00430688507142,8335.92971618025,2890.19960477014
"log_rec_devs[40]",9.58594259636494,9.58619504371521,0.0461613770217849,0.0460889746248913,9.50916176440724,9.66119137603672,0.99992297250261,7423.16907785519,2846.62795337645
"log_rec_devs[41]",8.78857083350532,8.7895445445223,0.0642445666452996,0.0627338494726197,8.68036633648105,8.89316146257832,1.00127468180376,8254.01256675931,2455.38600633749
"log_rec_devs[42]",8.44061120706285,8.44079112036978,0.0752199339738493,0.0737682010178948,8.31521270697276,8.56585856612047,1.00501679228222,9209.77419907179,2891.70939030414
"log_rec_devs[43]",9.36620410838173,9.36570978333216,0.0509799206826356,0.0516005726969478,9.28274441666582,9.45027213665934,1.00037798054278,6017.37629228048,2142.95412970341
"log_rec_devs[44]",10.1471861317639,10.14753344636,0.0407828571623277,0.0400452188539412,10.0807128151376,10.2150887959819,1.00065678872197,7336.70870688259,2471.27775717065
"log_rec_devs[45]",9.52906662372832,9.52950247492532,0.0586377230212079,0.0603105912527272,9.43394772206151,9.62481689317099,1.0007230218859,7973.39185773119,2717.56343414737
"log_rec_devs[46]",10.844796073244,10.8444437762754,0.0353858312225742,0.0355775557585219,10.7875172484288,10.9026047787242,0.999936170428383,5661.73493679177,2966.64197425238
"log_rec_devs[47]",10.0649167728814,10.0645713320728,0.0506103244950454,0.0480513620397545,9.98198111785453,10.150310321013,1.00113200359515,7159.61908472989,2185.28316825726
"log_rec_devs[48]",9.60430018788661,9.60474825567752,0.0608714533706558,0.0618944530470544,9.50571184577463,9.70509135265107,1.00086692507873,6988.12346396575,2239.61650571743
"log_rec_devs[49]",9.45616635917974,9.45621461321969,0.0600261741461627,0.0584117110236695,9.35552123816869,9.55435986037813,1.00145553733108,7661.89289797412,2810.31041748862
"log_rec_devs[50]",10.6984664143657,10.698252887694,0.035566936467942,0.0350757943483531,10.6417733456737,10.758131913385,1.00028105072819,8204.81017222339,2760.809037723
"log_rec_devs[51]",10.8376586768708,10.8368410395487,0.0383673669782713,0.0371048575695427,10.775779042916,10.9001161192975,1.00250218121584,8031.89654278206,2684.43796751718
"log_rec_devs[52]",10.0035926816341,10.0033449711914,0.0581777498767451,0.0560483860440177,9.90788927248559,10.1026328068802,1.00283717101477,7464.38688494386,3030.74682507823
"log_rec_devs[53]",9.03235194966813,9.02987350790625,0.0966639638388738,0.0972108942781881,8.87262441634707,9.19160906333112,1.00244737835106,7239.63742564576,2534.47055603609
"log_rec_devs[54]",9.03177510523569,9.03121582050184,0.112464366848787,0.109680796186823,8.84316671195738,9.21377611998286,1.00191457543698,7233.37291690978,2668.07220890093
"log_rec_devs[55]",9.73755440094574,9.73547483003853,0.108339190229577,0.110230785282659,9.55879450731834,9.91768286976354,1.00211427598896,6345.88224256226,2333.91203408385
"log_rec_devs[56]",11.2223673753916,11.2193337589291,0.0884677144937265,0.0888307363762138,11.0812588782736,11.3714476686235,1.00283271487233,6513.68583823559,2766.32002423802
"log_rec_devs[57]",9.85634555916695,9.85518008481252,0.141495216164278,0.14089183928552,9.62458596077304,10.0935120037129,1.00097092813754,7366.57295606099,2966.60485798548
"log_rec_devs[58]",9.32985048206073,9.33184481857582,0.18244251483957,0.183791077957027,9.02132832357496,9.62270685359701,1.00131915231884,5819.34093115505,3078.64094177397
"log_rec_devs[59]",9.30523722767954,9.30890349185116,0.226976192014575,0.226705790618392,8.92810994774104,9.66981939392144,1.0031131444372,7282.60743441814,2528.77059437319
"log_rec_devs[60]",9.77807339167352,9.77242306556374,0.262972192775823,0.265333642174202,9.35367066713109,10.2068112804533,1.0001212397929,7365.87556359936,2549.05487906896
"log_rec_devs[61]",9.85365644469366,9.853132170342,0.444051686827212,0.44498277680154,9.11704957175355,10.5724947854156,1.00008807120435,8153.41767536585,2387.00813602787
"log_F_devs[1]",-2.31512792901371,-2.32201787658921,0.2950536388095,0.296317872528252,-2.78493386560945,-1.82811506733986,1.00235851941472,4246.61414472124,3207.40831338675
"log_F_devs[2]",-2.34205235324439,-2.35444184397349,0.24406295702016,0.24414243167068,-2.72860834781391,-1.93257059744688,1.00199991149664,4590.14787302575,2128.45627973759
"log_F_devs[3]",-2.42391450334375,-2.42901946822189,0.224964716238454,0.222125006770384,-2.7823900571962,-2.04300372848626,0.999806094468522,4770.15454776378,2802.67094560407
"log_F_devs[4]",-1.84495327101763,-1.84414778003749,0.21714352404132,0.216412451346244,-2.19954292349881,-1.48304512015755,1.00047349776075,5714.39715091325,3092.32971912212
"log_F_devs[5]",-1.87957328017924,-1.88217805304668,0.221672246284052,0.227451815280899,-2.23775486501995,-1.51118724492661,1.00012007178658,5281.02709021323,3089.72709105115
"log_F_devs[6]",-1.84587155955777,-1.85099405981096,0.220968364946372,0.226200490824392,-2.20484754283444,-1.47724999106027,0.99947619544772,5398.4175173623,3455.57048550508
"log_F_devs[7]",-1.4715346246007,-1.47422430324709,0.212527310203515,0.217972231267836,-1.81314362634899,-1.11569506793541,1.00027493145482,5452.73504915254,3233.28996592494
"log_F_devs[8]",-1.13253031421846,-1.13530395727182,0.208493240784502,0.210008331227783,-1.46297526157663,-0.785839172655888,0.999931700790884,5059.23186509414,2901.55583932578
"log_F_devs[9]",-1.00895159576897,-1.01237214937229,0.202293588432728,0.204731748375505,-1.33364687835894,-0.678622061188595,0.999622680701555,4910.92891073336,3223.51741915362
"log_F_devs[10]",-0.856733378754218,-0.860885783259317,0.202430734870664,0.203680220010205,-1.17582808275173,-0.512479877554618,0.999801728818695,4842.95606714366,2999.99055499618
"log_F_devs[11]",-0.785894224863058,-0.795797782481524,0.204345445765894,0.207469882560049,-1.10534165836271,-0.437480981969358,1.00040598581181,5143.3856016031,2977.68255715336
"log_F_devs[12]",-0.99159964148237,-0.993233161201034,0.197873955435079,0.196591342442823,-1.31241249137474,-0.664243891831075,1.0002257176895,5063.55622516007,2784.40136594179
"log_F_devs[13]",-1.09136453438999,-1.09191969628404,0.190024626424258,0.192156128794776,-1.39778514534522,-0.771989463809131,1.00010767680844,5485.99636561036,2570.749626731
"log_F_devs[14]",-1.17630874504287,-1.18555162955008,0.200619950765927,0.203450950038615,-1.49318213484288,-0.828921969897631,0.999747771189717,5214.21015927227,2794.89543471059
"log_F_devs[15]",-1.03446835512512,-1.04071870345932,0.190515000208002,0.188645299338471,-1.33648103790322,-0.711355485096354,1.00307290988509,5189.57281794891,2928.59176580967
"log_F_devs[16]",-0.968269414110497,-0.973290927052967,0.188513845888749,0.193638399003619,-1.26477631688031,-0.644803453001415,0.999894472250288,5304.96537291097,3308.02609753478
"log_F_devs[17]",-1.02886024959493,-1.03485187341962,0.186880531646211,0.18657208051688,-1.332700784853,-0.712837222992024,1.00137372315879,5610.74906661172,2718.54663196815
"log_F_devs[18]",-1.34531317338907,-1.34731139014425,0.195954527372097,0.191927563676319,-1.6623329103895,-1.00995930165974,1.00409941548784,6061.50475912368,2196.5807483765
"log_F_devs[19]",-1.77214671438556,-1.77302865160192,0.212524287280371,0.209623641584869,-2.11479785830279,-1.41046191220637,0.999574190951773,5693.6123236143,2390.81799143308
