fishery_sel_form,label,process_cv,objective_type,objective,evaluated_total,n_parameters,n_random,convergence,max_gradient,hessian_ok,finite_se,seconds
0,Base coefficients,,joint,7075.220378912171,7075.220378912171,1526,0,0,2.3078642975682406e-5,,,0.003993988037109375
2,Time-age varying double logistic,0.30,Laplace marginal,7592.613003271683,7305.631689256632,621,183,0,6.432764082520137e-5,TRUE,TRUE,167.06291604042053
5,2D AR1,,joint,6883.328054958513,6883.328054958514,1724,0,0,0.0023993184349359042,,,11.229397058486938
6,2D AR1 age-11 plus,,joint,6917.867477624614,6917.867477624617,1480,0,0,0.003706621692940243,,,6.660019874572754
