scenario,old_age_cap,stage,objective,evaluated_total,convergence,max_gradient,hessian_ok,min_hessian_eigen,finite_se,seconds,p1,p2,p3,dev_sd_p1,dev_sd_p2,dev_sd_p3,fishery_age_nll,fishery_sel_shape
capped_stage1,TRUE,1,8659.11621977991,8659.11621977991,0,0.000719770901921268,FALSE,-1.22759105982229e-16,FALSE,1.25447392463684,1.6494922557694,3.27428931577093,9.42547638468685,0,0,0,1220.56671162501,3.65933481485211
capped_stage2,TRUE,2,8728.17869650966,8293.41943949048,0,0.000269074042208217,FALSE,-1.87888361723382e-16,FALSE,221.517525911331,1.49262089213732,3.23282556303824,11.4923982568704,0.063233652800739,0.0896090015179967,0.00286246206245564,790.324107007455,2.0509397598986
uncapped_stage1,FALSE,1,8652.967875,8652.967875,0,0.0004454602,TRUE,0.1312341,TRUE,1.3,1.666325,3.286232,7.198088,0,0,0,1222.675,0
uncapped_stage2,FALSE,2,8482.565,8173.363,0,0.00006752551,TRUE,0.1349393,TRUE,154.964,1.4123325,2.9380070,6.1589246,0.2455521,0.2089157,0.1737419,498.7726,0
