Stock,Alt,Sim,Year,SSB,Rec,Tot_biom,SPR_Implied,F,Ntot,Catch,ABC,OFL,AvgAge,AvgAgeTot,SexRatio,B100,B40,B35,Scenario
EBS_Pollock_2024,2,4,2030,2626.73,6890.29,13114.8,0.473625,0.199943,10188.7,1300,1696.52,2042.64,3.54981,3.31153,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,4,2031,3122.89,7493.76,12483.7,0.523081,0.164551,12102.9,1300,2026.43,2438.04,4.23104,3.47317,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,4,2032,3303.51,13026.7,11124.7,0.549303,0.148363,11576.7,1300,2217.37,2659.37,5.05492,2.99465,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2025,3274.81,35910.6,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.1341,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2026,2883.61,13562.4,12294,0.479906,0.195043,9497.26,1300,1729.24,2075.71,4.67385,2.63817,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2027,2656.61,10718.1,12092.9,0.469022,0.203618,8964.07,1300,1664.7,1999.73,4.02827,2.92516,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2028,2698.54,12866,11498.1,0.477888,0.196604,9905.97,1300,1718.95,2065.69,4.17165,2.87869,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2029,2838.52,13645.8,10922.8,0.499207,0.18076,10068.6,1300,1855.43,2229.53,4.65322,2.7789,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2030,2600.69,36921,9657.49,0.485329,0.190915,8930.14,1300,1756.56,2102.36,4.83883,1.94123,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2031,2207.59,11756.8,9952.26,0.419934,0.24789,7516.73,1300,1297.41,1539.7,4.64393,2.4777,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,5,2032,1889.81,35625.8,9662.75,0.382743,0.289181,6613.19,1300,997.578,1191.37,3.61775,1.9285,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2025,3274.81,6051.38,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,3.32577,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2026,2883.61,10560.2,10650.8,0.479902,0.195046,9497.26,1300,1729.22,2075.68,4.72486,3.10425,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2027,2645.26,7645.75,9608.51,0.464038,0.20768,8866.93,1300,1634.52,1962.44,4.93723,3.20874,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2028,2346.99,12074.9,8311.66,0.447568,0.221755,7663.77,1300,1498.38,1772.6,5.13145,2.70445,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2029,1864.84,16146.2,6988.99,0.385317,0.286058,6229.46,1300,1000.51,1190.65,5.0163,2.23453,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2030,1411.25,35037.3,6388.94,0.307123,0.405471,4869.98,1300,590.773,710.547,4.38236,1.64693,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2031,1052.18,16288.8,7098.71,0.252544,0.535916,4066.38,1300,0,444.496,3.34241,1.979,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,6,2032,896.523,8475.62,7524.66,0.229765,0.610296,3985.34,1300,0,333.163,2.44514,2.40532,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2025,3274.81,11770.9,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.93609,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2026,2883.61,9949.65,10965.6,0.479903,0.195045,9497.26,1300,1729.22,2075.69,4.71501,3.05984,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2027,2647.44,30544.5,10019.1,0.465001,0.206889,8885.54,1300,1640.3,1969.58,4.72642,2.12326,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2028,2414.15,30850.9,10057.7,0.453478,0.216585,8089.39,1300,1566.09,1852.16,4.86695,2.00647,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2029,2048.75,70241.8,10388.8,0.414369,0.253585,6947.87,1300,1193.9,1418.7,4.00389,1.59429,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2030,1881.09,15503.1,13411.2,0.379655,0.292984,7230.2,1300,980.414,1172.97,3.35217,2.3064,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2031,2182.81,60939.1,14917.5,0.429617,0.238342,8825.83,1300,1327.96,1588.39,2.86417,1.87642,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,7,2032,3032.08,17632.6,18020.5,0.515762,0.169361,13196.5,1300,1978.78,2385.06,3.45754,2.57106,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,8,2025,3274.81,15398.5,12018.2,0.524394,0.163703,10905.3,1300,2024.92,2428.09,4.98892,2.7501,0.5,5977.95,2391.18,2092.28,2
EBS_Pollock_2024,2,8,2026,2883.61,8016.07,11165.2,0.479903,0.195045,9497.26,1300,1729.23,2075.69,4.70878,3.14496,0.5,5977.95,2391.18,2092.28,2
