"model","objective","AIC","maximum_gradient","positive_definite_hessian","convergence_status","elapsed_seconds"
"iid",934.32429061512,4168.64858123024,6.56903647893448e-05,TRUE,"OK",148.665282011032
"candidate1",933.7696639503,4169.5393279006,5.49829557234816e-05,TRUE,"OK",152.61740899086
"candidate2",932.861364957665,4167.72272991533,5.61340517357678e-05,TRUE,"OK",145.678698062897
"combined",932.29358396219,4168.58716792438,7.54793824402356e-05,TRUE,"OK",148.916042089462
