Experiment,Scenario,Maximum_gradient,Objective,R2012,R2013,R2014,SSB2015,SSB2018,SSB2020,R2012_percent_vs_all_2021,R2013_percent_vs_all_2021,R2014_percent_vs_all_2021,SSB2015_percent_vs_all_2021,SSB2018_percent_vs_all_2021,SSB2020_percent_vs_all_2021,Step
Cumulative addition,2020 data availability,4.683015830633928e-5,610.2475586112971,15813.002013331059,63660.90022046812,64071.93992866954,3463.2450149723118,4402.4244902014425,3278.6785854325194,25.280737587037216,39.767433358943634,29.50972191421726,25.47543304855202,38.93961381758921,44.709304689247695,1
Cumulative addition,Add 2020 fishery composition,1.0722825365006017e-4,649.0046954895782,13683.241936012002,50086.083941492056,54660.0769075734,2984.3197725255104,3615.2101095295284,2835.1573061301497,8.407413145225506,9.963939800716059,10.485360174680691,8.1236857900995,14.095289449131121,25.13384028480845,2
Cumulative addition,Add 2021 BTS index,4.284945220200259e-5,651.3587203356437,12959.69925785902,46940.59557035183,49813.38158344403,2843.944139253532,3245.2852997487207,2347.5661332181726,2.675044280775385,3.0580236925218607,0.6886509704684407,3.037792849196208,2.4205383371276534,3.6132862670382293,3
Cumulative addition,Add 2021 BTS composition,4.589123199691403e-5,659.1391886223879,12657.276030650915,45678.694377805135,49638.11787198372,2767.6117338058966,3181.9437039666063,2260.4456251028078,0.27905363104661074,0.2875210727971478,0.3343873948977949,0.27222426026509705,0.4214905678485703,-0.23190557627424946,4
Cumulative addition,Add 2021 AVO index,4.433847406896951e-5,659.6951060663923,12622.053731400787,45547.73504137936,49472.687441262955,2760.0980772325593,3168.588402715218,2265.699909534659,0,0,0,0,0,0,5
