Fleet,Age,Selectivity_2020_peel,Selectivity_2021_peel,Ratio_2021_to_2020
Fishery,1,2.953885561350235e-4,4.8683501438151065e-4,1.6481173839347252
Fishery,2,0.009053097214120388,0.04897931950550052,5.410227941560818
Fishery,3,0.06091393172508644,0.09692145338306217,1.5911212860217756
Fishery,4,0.2259643140516151,0.27495730068581004,1.2168173626876493
Fishery,5,0.8828169626228259,0.772899263627291,0.8754920853933613
Fishery,6,1.7328994155149107,1.8274146298983165,1.0545416621052537
Fishery,7,1.5992989522966574,1.6287828354964946,1.0184355046050002
Fishery,8,1.5567324124778248,1.4103113885876046,0.9059433575631896
Fishery,9,1.4567105170251575,1.406033242076502,0.9652111559871575
Fishery,10,1.3575771030928374,1.3538168248273297,0.9972301549157384
Fishery,11,1.2380120584925,1.2829465716902806,1.0362956991327663
Fishery,12,1.2199314617325827,1.2241125838018556,1.0034273417814266
Fishery,13,1.2199314617325827,1.2241125838018556,1.0034273417814266
Fishery,14,1.2199314617325827,1.2241125838018556,1.0034273417814266
Fishery,15,1.2199314617325827,1.2241125838018556,1.0034273417814266
BTS,1,0.06138156914206331,0.03392420512965438,0.5526773851469845
BTS,2,0.10846856636357446,0.03566391889898102,0.32879496885244675
BTS,3,0.1660446203512964,0.08684285692721663,0.5230091570776902
BTS,4,0.2457579139638404,0.19649994272934762,0.799567100647915
BTS,5,0.34778052960198325,0.3860794148560255,1.1101237188231132
BTS,6,0.46598945733422575,0.6179061036937561,1.3260087625771537
BTS,7,0.588145529070088,0.8061464975797562,1.3706582091244452
BTS,8,0.7003282155807133,0.9144839137845303,1.3057933315256172
BTS,9,0.7927230682952703,0.9649109939585626,1.217210691286653
BTS,10,0.8622345976317695,0.9860556807723484,1.1436048651732005
BTS,11,0.9110507044334698,0.9945307702547485,1.0916305375925153
BTS,12,0.9436986824218099,0.9978660106972153,1.0573989656702667
BTS,13,0.96482618021677935,0.9991690573516258,1.0355948852125159
BTS,14,0.9782084996882705,0.9996767014850465,1.0219464478213156
BTS,15,0.9865702185262106,0.9998742518543173,1.0134851357544332
ATS,1,0,0,NA
ATS,2,0.8331817668583085,0.8571195668632318,1.0287305855181947
ATS,3,0.77216307449944,0.8573283234201978,1.110294381761219
ATS,4,0.7819067339402964,0.8995379377361398,1.150441476828137
ATS,5,0.8278192507331684,0.9695990527354402,1.1712690323119483
ATS,6,0.9110544413394607,1.031121086640047,1.1317886614152946
ATS,7,1.0228477816277548,1.0582395990872155,1.034601255529086
ATS,8,1.1080829903688825,1.0468305314681017,0.9447221377521644
ATS,9,1.1080829903688825,1.0468305314681017,0.9447221377521644
ATS,10,1.1080829903688825,1.0468305314681017,0.9447221377521644
ATS,11,1.1080829903688825,1.0468305314681017,0.9447221377521644
ATS,12,1.1080829903688825,1.0468305314681017,0.9447221377521644
ATS,13,1.1080829903688825,1.0468305314681017,0.9447221377521644
ATS,14,1.1080829903688825,1.0468305314681017,0.9447221377521644
ATS,15,1.1080829903688825,1.0468305314681017,0.9447221377521644
