Experiment,Scenario,Maximum_gradient,Objective,R2012,R2013,R2014,SSB2015,SSB2018,SSB2020,R2012_percent_vs_all_2021,R2013_percent_vs_all_2021,R2014_percent_vs_all_2021,SSB2015_percent_vs_all_2021,SSB2018_percent_vs_all_2021,SSB2020_percent_vs_all_2021
Selectivity control,All selectivity re-estimated,4.433847406896951e-5,659.6951060663923,12622.053731400787,45547.73504137936,49472.687441262955,2760.0980772325593,3168.588402715218,2265.699909534659,0,0,0,0,0,0
Selectivity control,Fishery and CPUE fixed at 2020 peel,1.0604676869826996e-4,706.7153011173389,12511.865919918531,46955.51272092194,47486.571131439974,2699.53010641298,3014.120044780991,2158.7959515611674,-0.8729784694873621,3.090774279475461,-4.014571296901992,-2.194413717367194,-4.874989689473718,-4.718363518646573
Selectivity control,BTS fixed at 2020 peel,3.431455756380819e-5,676.1993000741697,14480.442826495273,52147.53158988281,56829.88358328938,3096.0602182590064,3798.544045218607,2701.004549464603,14.723349580355837,14.489845746462793,14.871227989709169,12.172108802861924,19.88127085119573,19.21281093308376
