Experiment,Scenario,Maximum_gradient,Objective,R2012,R2013,R2014,SSB2015,SSB2018,SSB2020,R2012_percent_vs_all_2021,R2013_percent_vs_all_2021,R2014_percent_vs_all_2021,SSB2015_percent_vs_all_2021,SSB2018_percent_vs_all_2021,SSB2020_percent_vs_all_2021
Block deletion,All 2021-peel data,4.433847406896951e-5,659.6951060663923,12622.053731400787,45547.73504137936,49472.687441262955,2760.0980772325593,3168.588402715218,2265.699909534659,0,0,0,0,0,0
Block deletion,no_BTS_index_2021,5.798928911046608e-5,656.7666176852413,13714.854694214484,50190.83969567863,56632.46027166519,2973.410032196795,3718.373829682385,2890.782017581093,8.657869678490249,10.193930938785623,14.472172830519403,7.728419389289054,17.351115294622875,27.58891878910903
Block deletion,no_BTS_comp_2021,7.173662765808109e-5,651.7447763923071,12928.74710015485,46829.06516494356,49688.72521117275,2837.1830301497457,3234.3071505933644,2350.149664436757,2.4298214480824143,2.8131588154715725,0.4366808861278937,2.7928338327193325,2.074070201791778,3.7273142196242004
Block deletion,no_AVO_index_2021,4.589123199691403e-5,659.1391886223879,12657.276030650915,45678.694377805135,49638.11787198372,2767.6117338058966,3181.9437039666063,2260.4456251028078,0.27905363104661074,0.2875210727971478,0.3343873948977949,0.27222426026509705,0.4214905678485703,-0.23190557627424946
Block deletion,no_Fishery_comp_2020,3.1223576829927535e-5,624.5077010006274,13895.614708486039,54424.994714266664,54820.27075125761,3082.9580672025354,3675.699940011032,2600.997924420973,10.089966373038983,19.49001342179246,10.809162765502967,11.697410053402702,16.004336090520987,14.798871354290654
Block deletion,no_BTS1_index_2021,4.433847406896951e-5,659.6951060663923,12622.053731400787,45547.73504137936,49472.687441262955,2760.0980772325593,3168.588402715218,2265.699909534659,0,0,0,0,0,0
