"model","path","lag","parameter","estimate","standard_error","lower_95","upper_95","unexplained_variance","variance_reduction_from_iid"
"iid","recdevs1 <-> recdevs1",0,"sigmaR1",0.68505661351623,0.06926271686445,0.549301688461908,0.820811538570551,0.469302563722325,0
"candidate1","recdevs1 <-> recdevs1",0,"sigmaR1",0.627644688977792,0.0608635087462502,0.508352211835142,0.746937166120443,0.39393785560203,0.160588741562653
"candidate2","recdevs1 <-> recdevs1",0,"sigmaR1",0.609515018804239,0.0591614387089435,0.493558598934709,0.725471438673768,0.371508558147931,0.208381571152583
"combined","recdevs1 <-> recdevs1",0,"sigmaR1",0.609400949375982,0.0591356643364301,0.493495047276579,0.725306851475385,0.371369517100348,0.208677842808295
