spp_file,Alt,Year,variable,value
EBS_Pollock_2024,1,2034,SSB_lb,1703.84
EBS_Pollock_2024,1,2034,SSB_ub,3686.02
EBS_Pollock_2024,1,2034,SSB_median,2344.49
EBS_Pollock_2024,1,2034,SSB_mean,2489.2
EBS_Pollock_2024,1,2035,SSB_lb,1691.37
EBS_Pollock_2024,1,2035,SSB_ub,3681.81
EBS_Pollock_2024,1,2035,SSB_median,2357.56
EBS_Pollock_2024,1,2035,SSB_mean,2484.45
EBS_Pollock_2024,1,2036,SSB_lb,1691.94
EBS_Pollock_2024,1,2036,SSB_ub,3653.9
EBS_Pollock_2024,1,2036,SSB_median,2341.96
EBS_Pollock_2024,1,2036,SSB_mean,2475.66
EBS_Pollock_2024,1,2037,SSB_lb,1703.04
EBS_Pollock_2024,1,2037,SSB_ub,3621.88
EBS_Pollock_2024,1,2037,SSB_median,2319.12
EBS_Pollock_2024,1,2037,SSB_mean,2471.75
EBS_Pollock_2024,1,2038,SSB_lb,1720.84
EBS_Pollock_2024,1,2038,SSB_ub,3725.19
EBS_Pollock_2024,1,2038,SSB_median,2339.2
EBS_Pollock_2024,1,2038,SSB_mean,2484.04
EBS_Pollock_2024,1,2025,F_lb,0.169584
EBS_Pollock_2024,1,2025,F_ub,0.169584
EBS_Pollock_2024,1,2025,F_median,0.169584
EBS_Pollock_2024,1,2025,F_mean,0.169584
EBS_Pollock_2024,1,2026,F_lb,0.204459
EBS_Pollock_2024,1,2026,F_ub,0.204465
EBS_Pollock_2024,1,2026,F_median,0.204463
EBS_Pollock_2024,1,2026,F_mean,0.204463
EBS_Pollock_2024,1,2027,F_lb,0.268106
EBS_Pollock_2024,1,2027,F_ub,0.268106
EBS_Pollock_2024,1,2027,F_median,0.268106
EBS_Pollock_2024,1,2027,F_mean,0.268106
EBS_Pollock_2024,1,2028,F_lb,0.244697
EBS_Pollock_2024,1,2028,F_ub,0.268106
EBS_Pollock_2024,1,2028,F_median,0.258937
EBS_Pollock_2024,1,2028,F_mean,0.258694
EBS_Pollock_2024,1,2029,F_lb,0.206685
EBS_Pollock_2024,1,2029,F_ub,0.268106
EBS_Pollock_2024,1,2029,F_median,0.250317
EBS_Pollock_2024,1,2029,F_mean,0.245875
EBS_Pollock_2024,1,2030,F_lb,0.190669
EBS_Pollock_2024,1,2030,F_ub,0.268106
EBS_Pollock_2024,1,2030,F_median,0.254237
EBS_Pollock_2024,1,2030,F_mean,0.24359
EBS_Pollock_2024,1,2031,F_lb,0.190023
EBS_Pollock_2024,1,2031,F_ub,0.268106
EBS_Pollock_2024,1,2031,F_median,0.261152
EBS_Pollock_2024,1,2031,F_mean,0.245017
EBS_Pollock_2024,1,2032,F_lb,0.186649
EBS_Pollock_2024,1,2032,F_ub,0.268106
EBS_Pollock_2024,1,2032,F_median,0.266592
EBS_Pollock_2024,1,2032,F_mean,0.246135
EBS_Pollock_2024,1,2033,F_lb,0.187848
EBS_Pollock_2024,1,2033,F_ub,0.268106
EBS_Pollock_2024,1,2033,F_median,0.265115
EBS_Pollock_2024,1,2033,F_mean,0.246273
EBS_Pollock_2024,1,2034,F_lb,0.187261
EBS_Pollock_2024,1,2034,F_ub,0.268106
EBS_Pollock_2024,1,2034,F_median,0.262993
EBS_Pollock_2024,1,2034,F_mean,0.245837
EBS_Pollock_2024,1,2035,F_lb,0.185787
EBS_Pollock_2024,1,2035,F_ub,0.268106
EBS_Pollock_2024,1,2035,F_median,0.264539
EBS_Pollock_2024,1,2035,F_mean,0.246431
EBS_Pollock_2024,1,2036,F_lb,0.185852
EBS_Pollock_2024,1,2036,F_ub,0.268106
