scenario,year,quantity,value
Current tinyVAST BTS ages,2000,spawning_biomass,2973.11
Current tinyVAST BTS ages,2000,recruitment_age1,24312.7
Current tinyVAST BTS ages,2000,predicted_catch,1122.24
Current tinyVAST BTS ages,2001,spawning_biomass,2782.38
Current tinyVAST BTS ages,2001,recruitment_age1,34314.9
Current tinyVAST BTS ages,2001,predicted_catch,1387.64
Current tinyVAST BTS ages,2002,spawning_biomass,2577.67
Current tinyVAST BTS ages,2002,recruitment_age1,22753.4
Current tinyVAST BTS ages,2002,predicted_catch,1487.31
Current tinyVAST BTS ages,2003,spawning_biomass,2754.49
Current tinyVAST BTS ages,2003,recruitment_age1,14122.2
Current tinyVAST BTS ages,2003,predicted_catch,1496.59
Current tinyVAST BTS ages,2004,spawning_biomass,2606.73
Current tinyVAST BTS ages,2004,recruitment_age1,6354.71
Current tinyVAST BTS ages,2004,predicted_catch,1488.64
Current tinyVAST BTS ages,2005,spawning_biomass,2714.19
Current tinyVAST BTS ages,2005,recruitment_age1,4485.3
Current tinyVAST BTS ages,2005,predicted_catch,1498.89
Current tinyVAST BTS ages,2006,spawning_biomass,2514.36
Current tinyVAST BTS ages,2006,recruitment_age1,11264.3
Current tinyVAST BTS ages,2006,predicted_catch,1478.16
Current tinyVAST BTS ages,2007,spawning_biomass,1926.04
Current tinyVAST BTS ages,2007,recruitment_age1,24402.3
Current tinyVAST BTS ages,2007,predicted_catch,1319.6
Current tinyVAST BTS ages,2008,spawning_biomass,1589.94
Current tinyVAST BTS ages,2008,recruitment_age1,12902.9
Current tinyVAST BTS ages,2008,predicted_catch,964.759
Current tinyVAST BTS ages,2009,spawning_biomass,1357.25
Current tinyVAST BTS ages,2009,recruitment_age1,48121.7
Current tinyVAST BTS ages,2009,predicted_catch,787.348
Current tinyVAST BTS ages,2010,spawning_biomass,1528.06
Current tinyVAST BTS ages,2010,recruitment_age1,22159.3
Current tinyVAST BTS ages,2010,predicted_catch,788.341
Current tinyVAST BTS ages,2011,spawning_biomass,1899.26
Current tinyVAST BTS ages,2011,recruitment_age1,13472.9
Current tinyVAST BTS ages,2011,predicted_catch,1178.97
Current tinyVAST BTS ages,2012,spawning_biomass,2471.76
Current tinyVAST BTS ages,2012,recruitment_age1,11683.1
Current tinyVAST BTS ages,2012,predicted_catch,1191.97
Current tinyVAST BTS ages,2013,spawning_biomass,2775.4
Current tinyVAST BTS ages,2013,recruitment_age1,42247.2
Current tinyVAST BTS ages,2013,predicted_catch,1243.06
Current tinyVAST BTS ages,2014,spawning_biomass,2295.55
Current tinyVAST BTS ages,2014,recruitment_age1,48013.6
Current tinyVAST BTS ages,2014,predicted_catch,1287.51
Current tinyVAST BTS ages,2015,spawning_biomass,2188.53
Current tinyVAST BTS ages,2015,recruitment_age1,20580.5
Current tinyVAST BTS ages,2015,predicted_catch,1363.04
Current tinyVAST BTS ages,2016,spawning_biomass,2733.99
Current tinyVAST BTS ages,2016,recruitment_age1,7495.84
Current tinyVAST BTS ages,2016,predicted_catch,1422.23
Current tinyVAST BTS ages,2017,spawning_biomass,3093.62
Current tinyVAST BTS ages,2017,recruitment_age1,6996.31
Current tinyVAST BTS ages,2017,predicted_catch,1436
Current tinyVAST BTS ages,2018,spawning_biomass,3472.12
Current tinyVAST BTS ages,2018,recruitment_age1,15522.3
Current tinyVAST BTS ages,2018,predicted_catch,1423.38
Current tinyVAST BTS ages,2019,spawning_biomass,2644.46
Current tinyVAST BTS ages,2019,recruitment_age1,70385
Current tinyVAST BTS ages,2019,predicted_catch,1460.45
Current tinyVAST BTS ages,2020,spawning_biomass,1975.23
Current tinyVAST BTS ages,2020,recruitment_age1,24628.2
Current tinyVAST BTS ages,2020,predicted_catch,1377.78
Current tinyVAST BTS ages,2021,spawning_biomass,2462.1
Current tinyVAST BTS ages,2021,recruitment_age1,11975.3
Current tinyVAST BTS ages,2021,predicted_catch,1378.54
Current tinyVAST BTS ages,2022,spawning_biomass,2914.86
Current tinyVAST BTS ages,2022,recruitment_age1,10019.4
Current tinyVAST BTS ages,2022,predicted_catch,1106.29
Current tinyVAST BTS ages,2023,spawning_biomass,3584.02
Current tinyVAST BTS ages,2023,recruitment_age1,12115.3
Current tinyVAST BTS ages,2023,predicted_catch,1321.48
Current tinyVAST BTS ages,2024,spawning_biomass,2762.48
Current tinyVAST BTS ages,2024,recruitment_age1,16261.2
Current tinyVAST BTS ages,2024,predicted_catch,1315.84
Current tinyVAST BTS ages,2025,spawning_biomass,2327.79
Current tinyVAST BTS ages,2025,recruitment_age1,20051
Current tinyVAST BTS ages,2025,predicted_catch,1342.8
Prior BTSProp ages for 1982-2024,1964,spawning_biomass,526.09
Prior BTSProp ages for 1982-2024,1964,recruitment_age1,6326.95
Prior BTSProp ages for 1982-2024,1964,predicted_catch,175.41
Prior BTSProp ages for 1982-2024,1965,spawning_biomass,617.015
