"term","estimate","std.error","gradient","estimation_type","module","year","age","engine","model","statistic","p.value"
"log_rec_devs[27]",10.8084316536504,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[28]",10.2076263815288,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[29]",10.0521583081327,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[30]",10.7135044062924,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[31]",9.63579471294005,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[32]",9.29404962040295,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[33]",10.0144860753412,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[34]",10.3058086275809,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[35]",9.59186241659694,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[36]",9.67770043445631,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[37]",10.1036448417015,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[38]",10.4495179813994,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[39]",10.0443948274409,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[40]",9.56891657349416,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[41]",8.77214921114784,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[42]",8.42274483805232,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[43]",9.34187346569785,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[44]",10.1283425531118,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[45]",9.50187809293668,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[46]",10.8106390080077,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[47]",10.0310744995176,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[48]",9.56907209144805,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[49]",9.42688777378797,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[50]",10.6774160730307,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[51]",10.8151564846888,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[52]",9.97975157901904,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[53]",9.01254027396641,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[54]",9.0178434627318,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[55]",9.72967551030262,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[56]",11.2292416151388,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[57]",9.88540556712148,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[58]",9.37712426511592,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[59]",9.37001802495522,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[60]",9.83805291095393,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"log_rec_devs[61]",9.9089964105678,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[1]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[2]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[3]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[4]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[5]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[6]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[7]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[8]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[9]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[10]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[11]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[12]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[13]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[14]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[15]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[16]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[17]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[18]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[19]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[20]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[21]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[22]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[23]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[24]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[25]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[26]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[27]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
"larv_rec_devs[28]",0,NA,NA,"fixed_input",NA,NA,NA,"custom RTMB","base coefficients",NA,NA
