fishery_sel_form,label,objective,evaluated_total,n_parameters,convergence,max_gradient,seconds
0,Base (coefficients + change-year deviations),7075.220378912171,7075.220378912171,1526,0,2.3078642975682406e-5,0.003993988037109375
5,NA,6883.328054958513,6883.328054958514,1724,0,0.0023993184349359042,11.229397058486938
6,2D AR1 ages 1-11; ages 12-15 fixed at age 11,6917.867477624614,6917.867477624617,1480,0,0.003706621692940243,6.660019874572754
