"fleet","residuals","mean","sdnr","lower_2.5_pct","upper_97.5_pct"
"ATS",234,0.065601263189225,0.815156684090152,-1.81005276396816,1.65997076414447
"BTS",588,-0.062870177705045,0.960144023427422,-1.96409069921104,1.71922657698185
"Fishery",840,-0.0626567564700955,0.869894861228148,-1.92284559860526,1.60697659847858
