Alt,Scenario,Catch_2027,Catch_2028,ABC_2027,ABC_2028,OFL_2027,OFL_2028,SSB_2027,SSB_2028,F_2027,F_2028,B_B35_2027,B_B35_2028
1,Maximum permissible ABC,1631.96,1526.66,1631.96,1526.66,1960.11,1818.74,2572.68,2378.14,0.27,0.26,1.23,1.14
2,Author-specified ABC,1631.96,1526.66,1631.96,1526.66,1960.11,1818.74,2572.68,2378.14,0.27,0.26,1.23,1.14
3,Average recent F,1344.74,1345,1344.74,1345,1960.11,1935.93,2609.18,2510.44,0.22,0.22,1.25,1.2
4,Alternative SPR rate,788.95,851.29,788.95,851.29,1960.11,2111.55,2676.19,2783.62,0.12,0.12,1.28,1.33
5,No fishing,0,0,0,0,1960.11,2328.04,2764.24,3187.04,0,0,1.32,1.52
6,OFL threshold determination,1693.33,1519.4,1693.33,1519.4,1693.33,1519.4,2279.63,2114.53,0.32,0.29,1.09,1.01
7,Status-determination ramp,1548.42,1715.53,1860.1,1715.53,1860.1,1715.53,2435.66,2261.65,0.27,0.31,1.16,1.08
